question;answer
What is the name of Harry Potter’s pet owl?;Hedwig
What house at Hogwarts does Harry belong to?;Gryffindor
Who is the headmaster of Hogwarts when Harry first arrives?;Albus Dumbledore
What is the name of the dark wizard Harry fights?;Lord Voldemort
What position does Harry play on the Quidditch team?;Seeker
What is the name of Ron Weasley’s pet rat?;Scabbers
Who is the Half-Blood Prince?;Severus Snape
What spell is used to disarm an opponent?;Expelliarmus
What is the name of the train that takes students to Hogwarts?;Hogwarts Express
Who is Harry’s godfather?;Sirius Black
What magical object shows the deepest desires of one's heart?;Mirror of Erised
What is the name of Hermione’s pet cat?;Crookshanks
Who killed Dumbledore?;Severus Snape
What creature is used as a guard in the Chamber of Secrets?;Basilisk
What is the name of Hagrid’s giant half-brother?;Grawp
What does the Marauder’s Map reveal?;The location of everyone at Hogwarts
What are the three Deathly Hallows?;Elder Wand, Resurrection Stone, Invisibility Cloak
What potion grants temporary good luck?;Felix Felicis
What is Voldemort’s real name?;Tom Marvolo Riddle
What is the name of the Weasley twins’ joke shop?;Weasleys’ Wizard Wheezes
